area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,total_sqft_clean,lat,lon
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,SoosePr,1715,3.0,2.0,105.0,3.0,1715.0,12.9269039,77.6701877
Plot  Area,Ready To Move,Doddaballapur,4 Bedroom,,3206,5.0,,270.0,4.0,3206.0,13.1112249,77.5798813
Plot  Area,Ready To Move,Kundalahalli,4 Bedroom,Roima A,1500,4.0,,235.0,4.0,1500.0,12.977594,77.7155586
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Esave E,1846,3.0,2.0,120.0,3.0,1846.0,12.9426506,77.6027253
Plot  Area,Ready To Move,Coconut Garden,3 Bedroom,,600,3.0,1.0,90.0,3.0,600.0,12.9610387,77.5190523
Super built-up  Area,Ready To Move,Whitefield,2 BHK,AHodsWo,1015,2.0,3.0,56.0,2.0,1015.0,12.9957428,77.7579489
Plot  Area,Ready To Move,Dollars Colony,4 Bedroom,,4350,8.0,,2600.0,4.0,4350.0,13.0413668,77.5678155
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,SLaceda,1100,2.0,1.0,36.0,2.0,1100.0,13.0522499,77.6316152
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1965,4.0,2.0,125.0,3.0,1965.0,13.0522499,77.6316152
Super built-up  Area,18-Apr,Haralur Road,2 BHK,SNnia E,1230,2.0,1.0,67.65,2.0,1230.0,12.9018012,77.6641767
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1260,2.0,2.0,55.0,2.0,1260.0,12.9055682,77.5455438
Plot  Area,Ready To Move,Indira Nagar,4 Bedroom,,2400,4.0,1.0,700.0,4.0,2400.0,12.9732913,77.6404672
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,6 Bedroom,,1500,4.0,2.0,233.0,6.0,1500.0,12.9512353,77.519054
Super built-up  Area,20-Jun,Jakkur,3 BHK,SoineC ,1950,3.0,2.0,131.0,3.0,1950.0,13.0784743,77.6068938
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,2 BHK,NDpalSe,1231,2.0,3.0,66.0,2.0,1231.0,12.9118578,77.6517238
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,Neisei ,1236,2.0,1.0,58.0,2.0,1236.0,12.9968412,77.6928386
Built-up  Area,Ready To Move,R.T. Nagar,4 BHK,,1800,3.0,0.0,120.0,4.0,1800.0,13.0254156,77.5960071
Super built-up  Area,Ready To Move,Begur,3 BHK,Arera V,1443,2.0,2.0,70.0,3.0,1443.0,12.8633887,77.6130112
Plot  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,,886,4.0,2.0,120.0,4.0,886.0,13.0120218,77.6777817
Super built-up  Area,Ready To Move,Wheelers Road,2 BHK,,925,2.0,1.0,68.0,2.0,925.0,12.9995759,77.6230526
Super built-up  Area,18-Sep,Chandapura,3 BHK,SunceEs,1305,3.0,1.0,33.28,3.0,1305.0,12.8009043,77.7114908
Super built-up  Area,Ready To Move,Alfa Garden Layout,2 BHK,,1190,2.0,2.0,46.41,2.0,1190.0,12.9684751,77.5981066
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1284,2.0,2.0,53.36,2.0,1284.0,12.9055682,77.5455438
Plot  Area,Ready To Move,Palace Guttahalli,3 Bedroom,,875,3.0,1.0,115.0,3.0,875.0,12.999489,77.5843469
Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,,1325,2.0,1.0,59.0,2.0,1325.0,12.9121916,77.5476337
Plot  Area,Ready To Move,Sector 6 HSR Layout,6 Bedroom,,2400,5.0,2.0,750.0,6.0,2400.0,12.9156177,77.6347321
Super built-up  Area,18-Jun,Kudlu Gate,2 BHK,Sanzaat,1183,2.0,1.0,79.54,2.0,1183.0,12.8899174,77.6396808
Built-up  Area,Ready To Move,Rajiv Gandhi Nagar,3 BHK,Almid P,1750,3.0,2.0,100.0,3.0,1750.0,13.0529919,77.5842533
Super built-up  Area,Ready To Move,Doddagubbi,1 BHK,,747,1.0,2.0,27.0,1.0,747.0,13.0720681,77.6683289
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Prarkun,1342,2.0,1.0,90.0,2.0,1342.0,12.8487599,77.648253
Super built-up  Area,Ready To Move,Brookefield,2 BHK,CidgeKn,1206,2.0,,90.0,2.0,1206.0,12.9652094,77.717936
Super built-up  Area,19-Mar,Hebbal,4 BHK,Raard B,2790,4.0,3.0,198.0,4.0,2790.0,13.0382184,77.5919
Super built-up  Area,18-Mar,Hebbal,2 BHK,,1162,2.0,1.0,59.0,2.0,1162.0,13.0382184,77.5919
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,,1194,2.0,2.0,46.0,2.0,1194.0,12.8802088,77.6658442
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,1857,4.0,3.0,155.0,3.0,1857.0,12.9244884,77.6451418
Built-up  Area,Ready To Move,Kattigenahalli,6 Bedroom,,3500,6.0,,115.0,6.0,3500.0,13.1177735,77.6261222
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,PhestOn,1763,3.0,2.0,240.0,2.0,1763.0,12.9945063,77.554298
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1150,2.0,1.0,45.99,2.0,1150.0,12.9055682,77.5455438
Plot  Area,Ready To Move,Koramangala,4 Bedroom,,2400,5.0,3.0,550.0,4.0,2400.0,12.9357366,77.624081
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,V2avei ,1290,2.0,2.0,72.0,2.0,1290.0,12.9121916,77.5476337
Built-up  Area,Ready To Move,Thubarahalli,4 BHK,VincyRe,3408,5.0,,145.0,4.0,3408.0,12.9547872,77.7213154
Built-up  Area,Ready To Move,HBR Layout,2 Bedroom,,900,2.0,1.0,145.0,2.0,900.0,13.031992,77.6280789
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,,1150,2.0,0.0,70.0,2.0,1150.0,12.9578658,77.6958748
Plot  Area,Ready To Move,Banashankari,3 Bedroom,,1040,2.0,1.0,109.0,3.0,1040.0,12.9278196,77.556621
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,IBityin,1160,2.0,2.0,64.08,2.0,1160.0,13.0176937,77.5555009
Super built-up  Area,Ready To Move,Soundarya Layout,2 BHK,,900,2.0,2.0,27.0,2.0,900.0,13.066906,77.4967968
Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,NVanat ,1750,3.0,1.0,185.0,4.0,1750.0,12.9244884,77.6451418
Built-up  Area,18-Dec,Electronic City,3 BHK,,1320,2.0,1.0,38.12,3.0,1320.0,12.8487599,77.648253
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Shaceop,891,2.0,1.0,26.0,2.0,891.0,12.8401734,77.6595099
Plot  Area,Ready To Move,Udaya Nagar,5 Bedroom,,1000,4.0,3.0,80.0,5.0,1000.0,12.9963615,77.6724503
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,SoechHa,1852,3.0,2.0,125.0,3.0,1852.0,12.9798531,77.7541055
Super built-up  Area,Ready To Move,Chandapura,3 BHK,Siissi ,1323,2.0,1.0,42.0,3.0,1323.0,12.8009043,77.7114908
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404,2.0,1.0,67.5,2.0,1404.0,12.8699226,77.6272278
Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,,1370,2.0,2.0,60.0,2.0,1370.0,12.9725581,77.692858
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1385,2.0,2.0,48.48,3.0,1385.0,12.9055682,77.5455438
Super built-up  Area,Ready To Move,Mahalakshmi Layout,3 BHK,Asmosz ,1876,3.0,1.0,150.0,3.0,1876.0,13.0113153,77.5446972
Plot  Area,Ready To Move,Jalahalli East,4 Bedroom,,1200,4.0,1.0,80.0,4.0,1200.0,13.0578317,77.5462216
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2.0,2.0,86.68,2.0,1175.0,12.9467026,77.5300705
Super built-up  Area,Ready To Move,Nagawara Junction,1 BHK,,500,1.0,2.0,51.0,1.0,500.0,13.0454631,77.626723
Plot  Area,Ready To Move,Dasappa Layout,5 Bedroom,,1200,5.0,2.0,85.0,5.0,1200.0,13.0828573,77.6491865
Built-up  Area,Ready To Move,Electronic City Phase II,1 BHK,,1200,1.0,0.0,295.0,1.0,1200.0,12.8473999,77.6724452
Super built-up  Area,19-Jan,Hosa Road,3 BHK,Sosisic,1893,3.0,2.0,130.0,3.0,1893.0,12.8704543,77.6539943
Super built-up  Area,Ready To Move,Whitefield,3 BHK,JahanSa,1430,3.0,2.0,52.0,3.0,1430.0,12.9957428,77.7579489
Built-up  Area,Ready To Move,Green View Layout,2 BHK,DSeme S,850,2.0,2.0,45.0,2.0,850.0,13.0052377,77.6492182
Super built-up  Area,17-Mar,CV Raman Nagar,2 BHK,Pu270a ,1392,2.0,1.0,110.0,2.0,1392.0,12.9855509,77.668072
Super built-up  Area,21-Mar,Kanakpura Road,3 BHK,GolusLi,1938,3.0,3.0,105.0,3.0,1938.0,12.8856913,77.5526564
Super built-up  Area,Ready To Move,HBR Layout,3 BHK,Giersin,1832,3.0,2.0,160.0,3.0,1832.0,13.031992,77.6280789
Super built-up  Area,Ready To Move,Konanakunte,3 BHK,,1423,2.0,2.0,85.0,3.0,1423.0,12.8792861,77.5697529
Super built-up  Area,Ready To Move,Jakkur,2 BHK,HRaniIb,1432,2.0,1.0,85.0,2.0,1432.0,13.0784743,77.6068938
Plot  Area,Ready To Move,2nd Block Hrbr Layout,4 Bedroom,,1350,4.0,3.0,235.0,4.0,1350.0,13.0203163,77.6325425
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,,1480,3.0,2.0,65.0,3.0,1480.0,12.9855509,77.668072
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Puestol,1843,3.0,2.0,96.2,3.0,1843.0,12.8856913,77.5526564
Plot  Area,Ready To Move,Lingarajapuram,3 Bedroom,,760,4.0,2.0,95.0,3.0,760.0,13.0093949,77.6267881
Super built-up  Area,18-Dec,Hulimavu,3 BHK,NiarkHy,1916,2.0,1.0,150.0,3.0,1916.0,12.8773486,77.6028031
Super built-up  Area,Ready To Move,Hennur,2 BHK,,1255,2.0,1.0,55.5,2.0,1255.0,13.037077,77.6413572
Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,,1160,2.0,2.0,44.08,2.0,1160.0,12.8646227,77.6081639
Super built-up  Area,18-Jun,Old Madras Road,2 BHK,Brica E,2640,2.0,1.0,170.0,2.0,2640.0,13.0069152,77.6882534
Super built-up  Area,Ready To Move,Bommanahalli,2 BHK,Maoseer,1160,2.0,3.0,53.0,2.0,1160.0,12.9034581,77.6230028
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1100,2.0,1.0,44.0,2.0,1100.0,12.9119693,77.5882043
Carpet  Area,Ready To Move,Ramagondanahalli,3 BHK,Reitice,1500,3.0,3.0,100.0,3.0,1500.0,12.9558969,77.7405826
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,MJtroty,1336,2.0,3.0,50.35,3.0,1336.0,12.8473999,77.6724452
Built-up  Area,Ready To Move,Choodasandra,2 BHK,Maidsr ,1065,2.0,1.0,46.0,2.0,1065.0,12.8883623,77.6799727
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1294,2.0,1.0,115.0,2.0,1294.0,13.0382184,77.5919
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1550,3.0,2.0,68.5,3.0,1550.0,13.0588586,77.6232576
Super built-up  Area,18-Dec,Whitefield,2 BHK,Prtates,1216,2.0,1.0,75.0,2.0,1216.0,12.9957428,77.7579489
Super built-up  Area,Ready To Move,Bank Of Baroda Colony,2 BHK,,1005,2.0,2.0,40.0,2.0,1005.0,12.893481,77.5837404
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1430,2.0,1.0,102.0,3.0,1430.0,12.9119693,77.5882043
Super built-up  Area,18-Dec,Frazer Town,4 BHK,Emsisy ,4100,4.0,3.0,660.0,4.0,4100.0,12.9975851,77.6136744
Super built-up  Area,22-Jun,Hoodi,3 BHK,GoAirej,1660,3.0,2.0,125.0,3.0,1660.0,12.9959233,77.7192796
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MenueNo,1430,2.0,3.0,56.0,3.0,1430.0,13.0522499,77.6316152
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,DSreerk,1470,2.0,1.0,75.0,3.0,1470.0,13.0351224,77.631944
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,Vaniai ,1045,2.0,1.0,76.77,2.0,1045.0,13.0394104,77.5197351
Super built-up  Area,Ready To Move,Hebbal,4 BHK,Brium C,4000 - 4450,6.0,0.0,359.0,4.0,4225.0,13.0382184,77.5919
Built-up  Area,Ready To Move,Anjanapura,2 BHK,ACopsva,950,2.0,0.0,30.0,2.0,950.0,12.8601312,77.5540587
Super built-up  Area,Ready To Move,Doddathoguru,3 BHK,SKterAs,1382,3.0,1.0,65.0,3.0,1382.0,12.8505644,77.6466948
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,,930,2.0,2.0,46.0,2.0,930.0,12.9140788,77.6188862
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,DSndsod,1660,2.0,2.0,116.0,3.0,1660.0,12.9244884,77.6451418
Super built-up  Area,Ready To Move,Vijinapura,2 BHK,Vadidpl,1290,2.0,2.0,71.95,2.0,1290.0,13.0039028,77.6736303
Built-up  Area,Ready To Move,Whitefield,3 BHK,JahanSa,1010,2.0,1.0,45.0,3.0,1010.0,12.9957428,77.7579489
Built-up  Area,Ready To Move,Brookefield,4 BHK,Sringlv,3050,4.0,,130.0,4.0,3050.0,12.9652094,77.717936
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,Adxira ,1200,2.0,2.0,71.0,2.0,1200.0,12.9725581,77.692858
Built-up  Area,Ready To Move,3rd Block Hrbr Layout,3 BHK,,1650,3.0,2.0,140.0,3.0,1650.0,13.0255533,77.6313982
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1636,3.0,2.0,88.0,3.0,1636.0,13.1424106,77.7340989
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2367,3.0,2.0,320.0,3.0,2367.0,12.9945063,77.554298
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1153,2.0,2.0,56.55,2.0,1153.0,13.1424106,77.7340989
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoisoCa,2087.01,4.0,2.0,160.0,3.0,2087.01,13.0720352,77.6333905
Super built-up  Area,Ready To Move,LB Shastri Nagar,2 BHK,MancyRe,1200,2.0,1.0,47.0,2.0,1200.0,12.9660384,77.6708961
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,SrisePo,1844,3.0,1.0,89.0,3.0,1844.0,12.9116225,77.6388622
Super built-up  Area,18-Dec,Hosa Road,3 BHK,Sosisic,142.84Sq. Meter,3.0,1.0,110.0,3.0,1537.515476,12.8704543,77.6539943
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1215,2.0,1.0,43.75,2.0,1215.0,12.8742536,77.6260073
Super built-up  Area,18-Jul,Sarjapur  Road,2 BHK,,1194,2.0,1.0,57.0,2.0,1194.0,12.9244884,77.6451418
Built-up  Area,Ready To Move,1st Block HBR Layout,4 BHK,,3150,4.0,2.0,150.0,4.0,3150.0,13.0379805,77.6388488
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,1.0,1.0,26.0,1.0,525.0,12.8856913,77.5526564
Super built-up  Area,18-May,Bommasandra,2 BHK,SSestth,955,2.0,1.0,37.97,2.0,955.0,12.8160161,77.6892217
Built-up  Area,Ready To Move,Kadugondanahalli,5 Bedroom,,2000,5.0,,75.0,5.0,2000.0,13.0207029,77.6215464
Super built-up  Area,18-Aug,Magadi Road,2 BHK,Vrenty ,884,2.0,1.0,48.0,2.0,884.0,12.975608,77.5553564
Super built-up  Area,Ready To Move,Kathriguppe,2 BHK,,1250,2.0,1.0,68.75,2.0,1250.0,12.929217,77.549692
Super built-up  Area,Ready To Move,Bommasandra Industrial Area,2 BHK,,7000,2.0,1.0,135.0,2.0,7000.0,12.8137512,77.6953367
Plot  Area,Ready To Move,Dodda Nekkundi,3 Bedroom,FetatHa,2400,4.0,2.0,300.0,3.0,2400.0,12.9725581,77.692858
Super built-up  Area,Ready To Move,Harlur,4 BHK,Shodsir,2990,4.0,1.0,225.0,4.0,2990.0,12.9058923,77.675465
Super built-up  Area,Ready To Move,Bellandur,2 BHK,SRageri,1195,2.0,1.0,52.0,2.0,1195.0,12.9320495,77.6842915
Super built-up  Area,Ready To Move,Sadhguru Layout,1 BHK,,2559,1.0,1.0,55.0,1.0,2559.0,12.9957271,77.5862314
Built-up  Area,18-Mar,Begur,2 BHK,,1200,2.0,1.0,33.0,2.0,1200.0,12.8633887,77.6130112
Super built-up  Area,18-Nov,Sarjapur  Road,2 BHK,AsastDe,984,2.0,1.0,45.75,2.0,984.0,12.9244884,77.6451418
Super built-up  Area,Ready To Move,Bommasandra,2 BHK,TCncyn ,1089,2.0,1.0,40.0,2.0,1089.0,12.8160161,77.6892217
Super built-up  Area,19-Mar,Hennur Road,2 BHK,Orens G,1165,2.0,1.0,52.0,2.0,1165.0,13.0351224,77.631944
Super built-up  Area,Ready To Move,Chandapura,1 BHK,,410,1.0,1.0,10.0,1.0,410.0,12.8009043,77.7114908
Super built-up  Area,18-Dec,Hennur,3 BHK,Puveshe,1482,3.0,1.0,110.0,3.0,1482.0,13.037077,77.6413572
Built-up  Area,Ready To Move,Ramamurthy Nagar,2 Bedroom,,1200,2.0,1.0,68.0,2.0,1200.0,13.0120218,77.6777817
Super built-up  Area,19-Dec,Kanakapura,3 BHK,GoityEt,1938,3.0,3.0,113.0,3.0,1938.0,12.9189383,77.5739265
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,,1275,2.0,2.0,55.46,3.0,1275.0,12.9121916,77.5476337
Super built-up  Area,Ready To Move,Mico Layout,2 BHK,Inasy E,1140,2.0,2.0,43.0,2.0,1140.0,12.9129858,77.6037799
Plot  Area,Ready To Move,Hegde Nagar,4 Bedroom,Sotosty,3734,5.0,1.0,430.0,4.0,3734.0,13.0720352,77.6333905
Super built-up  Area,Ready To Move,Tejaswini Nagar,1 BHK,Raood R,720,1.0,2.0,28.0,1.0,720.0,12.8601269,77.6053051
Plot  Area,18-Apr,Nagarbhavi,3 Bedroom,,1200,3.0,2.0,228.0,3.0,1200.0,12.9512353,77.519054
Built-up  Area,Ready To Move,Richards Town,2 BHK,Alnorrm,1100,2.0,1.0,90.0,2.0,1100.0,13.0042369,77.6170601
Super built-up  Area,Ready To Move,Sector 7 HSR Layout,2 BHK,,1162,2.0,2.0,98.77,2.0,1162.0,12.9093675,77.6407794
Built-up  Area,Ready To Move,Ramamurthy Nagar,1 Bedroom,,540,1.0,0.0,35.0,1.0,540.0,13.0120218,77.6777817
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1550,2.0,2.0,73.5,3.0,1550.0,13.0588586,77.6232576
Plot  Area,Ready To Move,R.T. Nagar,3 Bedroom,,1300,3.0,,145.0,3.0,1300.0,13.0254156,77.5960071
Plot  Area,Ready To Move,Ullal Road,5 Bedroom,,1200,5.0,1.0,130.0,5.0,1200.0,12.9553191,77.4935554
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,,964,2.0,1.0,62.0,2.0,964.0,12.8505644,77.6466948
Built-up  Area,21-Dec,"Electronic City Phase 1,",3 BHK,,1500,3.0,2.0,50.0,3.0,1500.0,12.8496783,77.6649749
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,DSlesSp,1347,2.0,1.0,44.0,3.0,1347.0,12.9244884,77.6451418
Super built-up  Area,Ready To Move,"JP Nagar 8th Phase,",4 BHK,,5000,5.0,,250.0,4.0,5000.0,12.9104062,77.5951099
Built-up  Area,Ready To Move,Bannerghatta Road,4 Bedroom,,3000,4.0,2.0,140.0,4.0,3000.0,12.9426506,77.6027253
Super built-up  Area,18-Jun,Bannerghatta,2 BHK,,1120,2.0,1.0,42.5,2.0,1120.0,12.9517452,77.6039506
Super built-up  Area,Ready To Move,Lake City,1 BHK,Prdenth,600,1.0,1.0,22.8,1.0,600.0,12.8997376,77.6173368
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2321,4.0,1.0,157.0,3.0,2321.0,12.9957428,77.7579489
Built-up  Area,Ready To Move,Hebbal,2 BHK,,1150,2.0,1.0,57.0,2.0,1150.0,13.0382184,77.5919
Built-up  Area,Ready To Move,Sonnenahalli,3 BHK,Skacak ,1484,3.0,1.0,75.0,3.0,1484.0,12.9433048,77.4801187
Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,Srdor S,1680,2.0,,68.0,3.0,1680.0,12.9558969,77.7405826
Super built-up  Area,Ready To Move,Dodda Banaswadi,3 BHK,,1650,3.0,2.0,78.0,3.0,1650.0,13.0129976,77.6493207
Super built-up  Area,18-Aug,Hanuman Nagar,3 BHK,,2072,3.0,2.0,108.0,3.0,2072.0,12.9700949,77.6561147
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Usquaya,1105,2.0,2.0,40.0,2.0,1105.0,12.9244884,77.6451418
Super built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,Invenai,1200,2.0,2.0,60.5,2.0,1200.0,13.0766407,77.5577315
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chllea ,4007,4.0,3.0,530.0,4.0,4007.0,12.9957428,77.7579489
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,550,2.0,1.0,16.0,2.0,550.0,12.8487599,77.648253
Super built-up  Area,Ready To Move,Banashankari,3 BHK,,1340,2.0,2.0,53.6,3.0,1340.0,12.9278196,77.556621
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2409,3.0,3.0,395.0,3.0,2409.0,12.9945063,77.554298
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1194,2.0,2.0,46.0,2.0,1194.0,12.9018012,77.6641767
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,,1246,2.0,1.0,65.0,2.0,1246.0,12.8699226,77.6272278
Built-up  Area,Ready To Move,Old Airport Road,2 BHK,Canoroy,1055,2.0,3.0,75.0,2.0,1055.0,12.9591061,77.6595688
Super built-up  Area,18-Dec,Hosa Road,3 BHK,Mahesr ,1541,3.0,1.0,69.61,3.0,1541.0,12.8704543,77.6539943
Built-up  Area,Ready To Move,Harlur,2 BHK,,1370,2.0,2.0,88.0,2.0,1370.0,12.9058923,77.675465
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veitaus,1224,2.0,2.0,75.0,2.0,1224.0,12.9957428,77.7579489
Built-up  Area,Ready To Move,Kambipura,2 BHK,Prrtht ,883,2.0,1.0,39.0,2.0,883.0,12.8822711,77.4606466
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,1676,3.0,,92.13,3.0,1676.0,13.0176937,77.5555009
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Hahtsya,1610,3.0,3.0,78.5,3.0,1610.0,12.8856913,77.5526564
Super built-up  Area,18-Jul,Raja Rajeshwari Nagar,2 BHK,Prllsan,1157,2.0,1.0,65.0,2.0,1157.0,12.932582,77.5162034
Plot  Area,18-May,Doddagubbi,4 Bedroom,,1200,4.0,1.0,85.0,4.0,1200.0,13.0720681,77.6683289
Plot  Area,Ready To Move,Dasappa Layout,7 Bedroom,,1500,7.0,3.0,130.0,7.0,1500.0,13.0828573,77.6491865
Super built-up  Area,Ready To Move,Gulimangala,2 BHK,Daxir E,980,2.0,3.0,35.0,2.0,980.0,12.8492767,77.7001531
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Vaine S,1140,2.0,1.0,40.0,2.0,1140.0,12.9244884,77.6451418
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1206,2.0,1.0,40.7,2.0,1206.0,12.932582,77.5162034
Built-up  Area,Ready To Move,Electronic City Phase II,1 BHK,,575,1.0,1.0,16.75,1.0,575.0,12.8473999,77.6724452
Super built-up  Area,Ready To Move,Koramangala,3 BHK,K ncy R,1600,3.0,1.0,170.0,3.0,1600.0,12.9357366,77.624081
Plot  Area,Ready To Move,1st Stage Indira Nagar,4 Bedroom,,2400,4.0,1.0,500.0,4.0,2400.0,12.9776551,77.6364842
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,,1300,2.0,2.0,52.0,3.0,1300.0,13.0367725,77.6549479
Super built-up  Area,18-Dec,Tunganagara,3 BHK,DSdidSp,1270,2.0,1.0,35.56,3.0,1270.0,12.985503,77.485068
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,63.5,2.0,1128.0,12.8487599,77.648253
Super built-up  Area,Ready To Move,Electronics City Phase 1,1 BHK,Shiaa S,640,1.0,1.0,45.0,1.0,640.0,12.8401734,77.6595099
Super built-up  Area,Ready To Move,4th T block Jayanagar,3 BHK,,2400,3.0,2.0,185.0,3.0,2400.0,12.9302534,77.5903874
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,,1200,2.0,0.0,66.0,3.0,1200.0,13.0105743,77.6932572
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,SPavenc,1090,2.0,2.0,38.15,2.0,1090.0,12.9189383,77.5739265
Super built-up  Area,Ready To Move,Electronic City,1 BHK,Itvir M,589,1.0,1.0,29.0,1.0,589.0,12.8487599,77.648253
Super built-up  Area,18-Apr,Electronic City,2 BHK,,1125,2.0,1.0,28.13,2.0,1125.0,12.8487599,77.648253
Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1140,2.0,2.0,50.66,2.0,1140.0,13.1067228,77.6173956
Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,Adeatlm,3150,4.0,2.0,500.0,4.0,3150.0,12.9244884,77.6451418
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Viuliap,1315,2.0,3.0,74.0,2.0,1315.0,12.977594,77.7155586
Plot  Area,Ready To Move,Billamaranahalli,2 Bedroom,AWharan,300Sq. Yards,2.0,2.0,150.0,2.0,2700.0,13.1503834,77.6374474
Super built-up  Area,Ready To Move,Bellandur,3 BHK,AkonyHa,1435,2.0,2.0,115.0,3.0,1435.0,12.9320495,77.6842915
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1092,2.0,2.0,44.0,2.0,1092.0,12.9018012,77.6641767
Super built-up  Area,18-May,Kadugodi,2 BHK,Alestrb,1314,2.0,3.0,80.0,2.0,1314.0,12.9957428,77.7579489
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Gencysi,1260,2.0,1.0,100.0,2.0,1260.0,12.9357366,77.624081
Plot  Area,Ready To Move,Srirampura,7 Bedroom,,1875,5.0,1.0,192.0,7.0,1875.0,12.9964948,77.5632993
Super built-up  Area,Ready To Move,Nagarbhavi,2 BHK,,1080,2.0,1.0,49.0,2.0,1080.0,12.9512353,77.519054
Built-up  Area,Ready To Move,Nagasandra,8 Bedroom,,4000,8.0,3.0,160.0,8.0,4000.0,13.0479536,77.5001422
Super built-up  Area,18-Feb,Mysore Road,3 BHK,PrawnRa,1082,2.0,1.0,45.0,3.0,1082.0,12.9467026,77.5300705
Super built-up  Area,Ready To Move,Jakkur,3 BHK,,1150,3.0,2.0,65.0,3.0,1150.0,13.0784743,77.6068938
